"Part;""Value"";""Device"";""Package"";""Description"";""DESCRIPTION"";""HEIGHT"";""MANUFACTURER_NAME"";""MANUFACTURER_PART_NUMBER"";""POPULARITY"";""RS_PART_NUMBER"";""RS_PRICE-STOCK"";""SPICEPREFIX"";",,,,,,,,
"ADC_1;""B3B-XH-A_LF__SN_"";""B3B-XH-A_LF__SN_"";""SHDR3W64P0X250_1X3_990X575X700"";""XH-2.5mm Header top entry 3 way JST XH Series", Series Number B3B, 2.5mm Pitch 3 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""XH-2.5mm Header top entry 3 way JST XH Series", Series Number B3B, 2.5mm Pitch 3 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""7mm"";""JST (JAPAN SOLDERLESS TERMINALS)"";""B3B-XH-A(LF)(SN)"";"""";""8201557P"";""http://uk.rs-online.com/web/p/products/8201557P"";"""";"
"ADC_2;""B3B-XH-A_LF__SN_"";""B3B-XH-A_LF__SN_"";""SHDR3W64P0X250_1X3_990X575X700"";""XH-2.5mm Header top entry 3 way JST XH Series", Series Number B3B, 2.5mm Pitch 3 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""XH-2.5mm Header top entry 3 way JST XH Series", Series Number B3B, 2.5mm Pitch 3 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""7mm"";""JST (JAPAN SOLDERLESS TERMINALS)"";""B3B-XH-A(LF)(SN)"";"""";""8201557P"";""http://uk.rs-online.com/web/p/products/8201557P"";"""";"
"ADC_3;""B3B-XH-A_LF__SN_"";""B3B-XH-A_LF__SN_"";""SHDR3W64P0X250_1X3_990X575X700"";""XH-2.5mm Header top entry 3 way JST XH Series", Series Number B3B, 2.5mm Pitch 3 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""XH-2.5mm Header top entry 3 way JST XH Series", Series Number B3B, 2.5mm Pitch 3 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""7mm"";""JST (JAPAN SOLDERLESS TERMINALS)"";""B3B-XH-A(LF)(SN)"";"""";""8201557P"";""http://uk.rs-online.com/web/p/products/8201557P"";"""";"
"ADC_4;""B3B-XH-A_LF__SN_"";""B3B-XH-A_LF__SN_"";""SHDR3W64P0X250_1X3_990X575X700"";""XH-2.5mm Header top entry 3 way JST XH Series", Series Number B3B, 2.5mm Pitch 3 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""XH-2.5mm Header top entry 3 way JST XH Series", Series Number B3B, 2.5mm Pitch 3 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""7mm"";""JST (JAPAN SOLDERLESS TERMINALS)"";""B3B-XH-A(LF)(SN)"";"""";""8201557P"";""http://uk.rs-online.com/web/p/products/8201557P"";"""";"
"ADC_5;""B3B-XH-A_LF__SN_"";""B3B-XH-A_LF__SN_"";""SHDR3W64P0X250_1X3_990X575X700"";""XH-2.5mm Header top entry 3 way JST XH Series", Series Number B3B, 2.5mm Pitch 3 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""XH-2.5mm Header top entry 3 way JST XH Series", Series Number B3B, 2.5mm Pitch 3 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""7mm"";""JST (JAPAN SOLDERLESS TERMINALS)"";""B3B-XH-A(LF)(SN)"";"""";""8201557P"";""http://uk.rs-online.com/web/p/products/8201557P"";"""";"
"ADC_6;""B3B-XH-A_LF__SN_"";""B3B-XH-A_LF__SN_"";""SHDR3W64P0X250_1X3_990X575X700"";""XH-2.5mm Header top entry 3 way JST XH Series", Series Number B3B, 2.5mm Pitch 3 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""XH-2.5mm Header top entry 3 way JST XH Series", Series Number B3B, 2.5mm Pitch 3 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""7mm"";""JST (JAPAN SOLDERLESS TERMINALS)"";""B3B-XH-A(LF)(SN)"";"""";""8201557P"";""http://uk.rs-online.com/web/p/products/8201557P"";"""";"
"ADC_7;""B3B-XH-A_LF__SN_"";""B3B-XH-A_LF__SN_"";""SHDR3W64P0X250_1X3_990X575X700"";""XH-2.5mm Header top entry 3 way JST XH Series", Series Number B3B, 2.5mm Pitch 3 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""XH-2.5mm Header top entry 3 way JST XH Series", Series Number B3B, 2.5mm Pitch 3 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""7mm"";""JST (JAPAN SOLDERLESS TERMINALS)"";""B3B-XH-A(LF)(SN)"";"""";""8201557P"";""http://uk.rs-online.com/web/p/products/8201557P"";"""";"
"BOX10P-L1;""BOX10PBOX10P-L"";""BOX10PBOX10P-L"";""BOX10P-L"";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"C1;""0.1μ"";""C-EUC0603"";""C0603"";""CAPACITOR"," European symbol"";"""";"""";"""";"""";""73"";"""";"""";""C"";",,,,,,,
"C2;""1μ"";""C-EUC0603"";""C0603"";""CAPACITOR"," European symbol"";"""";"""";"""";"""";""73"";"""";"""";""C"";",,,,,,,
"C3;""0.1μ"";""C-EUC0603"";""C0603"";""CAPACITOR"," European symbol"";"""";"""";"""";"""";""73"";"""";"""";""C"";",,,,,,,
"C4;""0.1μ"";""C-EUC0603"";""C0603"";""CAPACITOR"," European symbol"";"""";"""";"""";"""";""73"";"""";"""";""C"";",,,,,,,
"IC1;""STM32F303K8T6"";""STM32F303K8T6"";""QFP80P900X900X160-32N"";""ARM Microcontrollers - MCU 16/32-BITS MICROS"";""ARM Microcontrollers - MCU 16/32-BITS MICROS"";""1.6mm"";""STMicroelectronics"";""STM32F303K8T6"";"""";"""";"""";"""";",,,,,,,,
"POWER;"""";""LEDCHIP-LED0603"";""CHIP-LED0603"";""LED"";"""";"""";"""";"""";""26"";"""";"""";"""";",,,,,,,,
"R1;""10k"";""R-US_R0603"";""R0603"";""RESISTOR"," American symbol"";"""";"""";"""";"""";""77"";"""";"""";""R"";",,,,,,,
"R2;""10k"";""R-US_R0603"";""R0603"";""RESISTOR"," American symbol"";"""";"""";"""";"""";""77"";"""";"""";""R"";",,,,,,,
"R3;""120"";""R-US_R0603"";""R0603"";""RESISTOR"," American symbol"";"""";"""";"""";"""";""77"";"""";"""";""R"";",,,,,,,
"R4;""150"";""R-US_R0603"";""R0603"";""RESISTOR"," American symbol"";"""";"""";"""";"""";""77"";"""";"""";""R"";",,,,,,,
"R5;""150"";""R-US_R0603"";""R0603"";""RESISTOR"," American symbol"";"""";"""";"""";"""";""77"";"""";"""";""R"";",,,,,,,
"R6;""1k"";""R-US_R0603"";""R0603"";""RESISTOR"," American symbol"";"""";"""";"""";"""";""77"";"""";"""";""R"";",,,,,,,
"R7;""2k"";""R-US_R0603"";""R0603"";""RESISTOR"," American symbol"";"""";"""";"""";"""";""77"";"""";"""";""R"";",,,,,,,
"R8;""1k"";""R-US_R0603"";""R0603"";""RESISTOR"," American symbol"";"""";"""";"""";"""";""77"";"""";"""";""R"";",,,,,,,
"R9;""2k"";""R-US_R0603"";""R0603"";""RESISTOR"," American symbol"";"""";"""";"""";"""";""77"";"""";"""";""R"";",,,,,,,
"R10;""1k"";""R-US_R0603"";""R0603"";""RESISTOR"," American symbol"";"""";"""";"""";"""";""77"";"""";"""";""R"";",,,,,,,
"R11;""2k"";""R-US_R0603"";""R0603"";""RESISTOR"," American symbol"";"""";"""";"""";"""";""77"";"""";"""";""R"";",,,,,,,
"R12;""1k"";""R-US_R0603"";""R0603"";""RESISTOR"," American symbol"";"""";"""";"""";"""";""77"";"""";"""";""R"";",,,,,,,
"R13;""2k"";""R-US_R0603"";""R0603"";""RESISTOR"," American symbol"";"""";"""";"""";"""";""77"";"""";"""";""R"";",,,,,,,
"R14;""1k"";""R-US_R0603"";""R0603"";""RESISTOR"," American symbol"";"""";"""";"""";"""";""77"";"""";"""";""R"";",,,,,,,
"R15;""2k"";""R-US_R0603"";""R0603"";""RESISTOR"," American symbol"";"""";"""";"""";"""";""77"";"""";"""";""R"";",,,,,,,
"R16;""1k"";""R-US_R0603"";""R0603"";""RESISTOR"," American symbol"";"""";"""";"""";"""";""77"";"""";"""";""R"";",,,,,,,
"R17;""2k"";""R-US_R0603"";""R0603"";""RESISTOR"," American symbol"";"""";"""";"""";"""";""77"";"""";"""";""R"";",,,,,,,
"R18;""1k"";""R-US_R0603"";""R0603"";""RESISTOR"," American symbol"";"""";"""";"""";"""";""77"";"""";"""";""R"";",,,,,,,
"R19;""2k"";""R-US_R0603"";""R0603"";""RESISTOR"," American symbol"";"""";"""";"""";"""";""77"";"""";"""";""R"";",,,,,,,
"SW1;""B2B-XH-A_LF__SN_"";""B2B-XH-A_LF__SN_"";""SHDR2W64P0X250_1X2_740X575X700"";""JST XH Series", 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""JST XH Series", 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""7mm"";""JST (JAPAN SOLDERLESS TERMINALS)"";""B2B-XH-A(LF)(SN)"";"""";""8201554P"";""http://uk.rs-online.com/web/p/products/8201554P"";"""";",,
"SW2;""B2B-XH-A_LF__SN_"";""B2B-XH-A_LF__SN_"";""SHDR2W64P0X250_1X2_740X575X700"";""JST XH Series", 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""JST XH Series", 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""7mm"";""JST (JAPAN SOLDERLESS TERMINALS)"";""B2B-XH-A(LF)(SN)"";"""";""8201554P"";""http://uk.rs-online.com/web/p/products/8201554P"";"""";",,
"SW3;""B2B-XH-A_LF__SN_"";""B2B-XH-A_LF__SN_"";""SHDR2W64P0X250_1X2_740X575X700"";""JST XH Series", 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""JST XH Series", 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""7mm"";""JST (JAPAN SOLDERLESS TERMINALS)"";""B2B-XH-A(LF)(SN)"";"""";""8201554P"";""http://uk.rs-online.com/web/p/products/8201554P"";"""";",,
"SW4;""B2B-XH-A_LF__SN_"";""B2B-XH-A_LF__SN_"";""SHDR2W64P0X250_1X2_740X575X700"";""JST XH Series", 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""JST XH Series", 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""7mm"";""JST (JAPAN SOLDERLESS TERMINALS)"";""B2B-XH-A(LF)(SN)"";"""";""8201554P"";""http://uk.rs-online.com/web/p/products/8201554P"";"""";",,
"SW5;""B2B-XH-A_LF__SN_"";""B2B-XH-A_LF__SN_"";""SHDR2W64P0X250_1X2_740X575X700"";""JST XH Series", 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""JST XH Series", 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""7mm"";""JST (JAPAN SOLDERLESS TERMINALS)"";""B2B-XH-A(LF)(SN)"";"""";""8201554P"";""http://uk.rs-online.com/web/p/products/8201554P"";"""";",,
"SW6;""B2B-XH-A_LF__SN_"";""B2B-XH-A_LF__SN_"";""SHDR2W64P0X250_1X2_740X575X700"";""JST XH Series", 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""JST XH Series", 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""7mm"";""JST (JAPAN SOLDERLESS TERMINALS)"";""B2B-XH-A(LF)(SN)"";"""";""8201554P"";""http://uk.rs-online.com/web/p/products/8201554P"";"""";",,
"SW7;""B2B-XH-A_LF__SN_"";""B2B-XH-A_LF__SN_"";""SHDR2W64P0X250_1X2_740X575X700"";""JST XH Series", 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""JST XH Series", 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""7mm"";""JST (JAPAN SOLDERLESS TERMINALS)"";""B2B-XH-A(LF)(SN)"";"""";""8201554P"";""http://uk.rs-online.com/web/p/products/8201554P"";"""";",,
"TX;"""";""LEDCHIP-LED0603"";""CHIP-LED0603"";""LED"";"""";"""";"""";"""";""26"";"""";"""";"""";",,,,,,,,
"U$1;""BP5293-33"";""BP5293-33"";""DC/DC_REGULATOR_3P"";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"U$2;""MCP2562MCP2561-SN"";""MCP2562MCP2561-SN"";""SOIC8"";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"U$3;""BOX14P"";""BOX14P"";""CON_HEDA14P_1.27"";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"Y1;""CSTCE12M0G55-R0"";""CSTCE12M0G55-R0"";""CSTCE12M0G55-R0"";""SMT ceramic resonator 12.0MHz CSTCE12M0G55-R0", Ceramic Resonator, 12MHz Fundamental 33pF, 3-Pin Cap Chip," 3.2 x 1.3 x 0.7mm"";""SMT ceramic resonator 12.0MHz CSTCE12M0G55-R0", Ceramic Resonator, 12MHz Fundamental 33pF, 3-Pin Cap Chip," 3.2 x 1.3 x 0.7mm"";""mm"";""Murata Electronics"";""CSTCE12M0G55-R0"";"""";""7214809P"";""http://uk.rs-online.com/web/p/products/7214809P"";"""";"